time,latitude,longitude,depth,mag,magType
2015-05-18T22:49:50.890Z,27.5867,85.8925,10,4.4,mb
2015-05-18T12:42:09.240Z,27.9438,84.6997,10,4.1,mb
2015-05-17T05:45:38.500Z,27.5777,85.8239,10,4.3,mb
2015-05-16T23:15:26.060Z,27.6804,85.9514,10,4.4,mb
2015-05-16T20:02:53.740Z,28.0094,84.6978,10,4.1,mb
2015-05-16T11:34:09.980Z,27.5603,86.0734,7,5.5,mww
2015-05-16T03:50:21.210Z,27.4751,85.1653,10,4.2,mb
2015-05-16T03:39:26.920Z,27.6386,85.713,10,4.7,mb
2015-05-16T00:46:06.830Z,28.0074,84.5187,10,4.1,mb
2015-05-15T01:42:42.800Z,27.9719,84.7499,10,4.9,mb
2015-05-14T03:07:38.770Z,27.6713,86.1515,10,4.4,mb
2015-05-13T21:38:06.390Z,27.7199,86.0503,8.38,5,mb
2015-05-13T10:59:41.150Z,27.8014,86.038,10,4.2,mb
2015-05-13T09:52:27.990Z,27.7666,86.3084,10,4.2,mb
2015-05-13T06:53:00.780Z,27.7201,86.1891,10,4.8,mb
2015-05-13T06:37:30.290Z,27.7582,86.1379,10,4.5,mb
2015-05-13T06:26:07.550Z,27.6539,86.1557,10,4.7,mb
2015-05-13T02:43:47.590Z,27.6248,86.3299,10,4.1,mb
2015-05-13T02:23:10.920Z,27.6695,86.2315,10,4.1,mb
2015-05-12T21:57:14.320Z,27.8032,86.0034,10,4,mb
2015-05-12T21:25:11.930Z,27.783,84.6384,10,5.2,mb
2015-05-12T20:44:28.940Z,27.9152,86.2389,5.36,4,mb
2015-05-12T20:22:16.260Z,27.5858,85.1413,13.35,4.3,mb
2015-05-12T19:37:40.910Z,27.6868,86.1308,8.52,4.5,mb
2015-05-12T19:34:59.090Z,27.6432,86.1584,10.93,4.3,mb
2015-05-12T18:51:44.210Z,27.6456,86.294,11.23,4.1,mb
2015-05-12T18:49:05.090Z,27.717,86.2514,15.68,4,mb
2015-05-12T17:28:39.250Z,27.4989,86.1266,10,4.8,mb
2015-05-12T16:55:22.990Z,27.712,85.9418,6.54,4.4,mb
2015-05-12T16:32:09.050Z,27.617,86.2307,10,4,mb
2015-05-12T16:15:14.100Z,27.7411,86.2211,10,4,mb
2015-05-12T15:59:46.930Z,27.6485,86.2971,10,4.4,mb
2015-05-12T15:32:25.690Z,27.7866,86.0808,10,4.2,mb
2015-05-12T15:28:19.810Z,27.721,86.2602,10,4.4,mb
2015-05-12T13:58:57.540Z,27.6013,86.2659,10,4.5,mb
2015-05-12T13:47:05.250Z,27.7321,85.8975,10,4.4,mb
2015-05-12T13:43:17.520Z,27.7461,85.9016,10,4.4,mb
2015-05-12T13:25:25.120Z,27.6516,86.1632,7.9,4.2,mb
2015-05-12T13:10:40.840Z,27.8728,85.9511,10.61,4.1,mb
2015-05-12T13:08:10.140Z,27.6132,85.9896,10,4.4,mb
2015-05-12T13:02:17.180Z,27.6406,85.8062,10,4,mb
2015-05-12T12:28:22.930Z,27.6751,85.9931,10,4.5,mb
2015-05-12T11:58:12.150Z,27.6936,85.9018,10,4.3,mb
2015-05-12T11:21:30.590Z,27.6838,86.1369,10,4.4,mb
2015-05-12T11:13:21.490Z,27.8202,85.982,10,4.1,mb
2015-05-12T11:06:34.600Z,27.6414,86.2033,10,4.2,mb
2015-05-12T10:53:22.920Z,27.7305,86.199,10,4,mb
2015-05-12T10:42:22.330Z,27.4765,86.3405,10,4,mb
2015-05-12T10:41:32.260Z,27.716,86.2746,10,4.5,mb
2015-05-12T10:40:07.870Z,27.7987,86.4044,10,4.6,mb
2015-05-12T10:35:39.950Z,27.6606,86.0849,10,4.5,mb
2015-05-12T10:31:00.570Z,27.6896,85.9158,10.01,4.4,mb
2015-05-12T10:15:07.680Z,27.7172,86.1734,10,4.3,mb
2015-05-12T09:44:38.980Z,27.7617,85.9301,10,4.2,mb
2015-05-12T09:38:19.460Z,27.6658,86.2505,10,4.5,mb
2015-05-12T09:02:09.780Z,27.7318,86.0672,10,4.6,mb
2015-05-12T08:59:39.740Z,27.7729,86.195,10,4.5,mb
2015-05-12T08:52:30.290Z,28.0084,86.3358,10,4,mb
2015-05-12T08:51:32.500Z,27.6469,86.2138,10,4.3,mb
2015-05-12T08:39:07.940Z,27.7431,86.01,10,4,mb
2015-05-12T08:35:36.710Z,27.7042,86.2108,10,4.4,mb
2015-05-12T08:34:24.130Z,28.1877,86.0143,16.34,4.3,mb
2015-05-12T08:24:24.340Z,27.7486,86.0692,10,4.8,mb
2015-05-12T08:21:10.760Z,27.7298,86.1316,15,5.2,mb
2015-05-12T08:13:54.600Z,27.7629,85.7574,15,5.1,mb
2015-05-12T08:11:22.590Z,27.4654,85.7306,10,4.3,mb
2015-05-12T08:06:05.530Z,27.7221,86.0161,15,5,mb
2015-05-12T08:05:25.540Z,27.9198,86.1387,10,4.2,mb
2015-05-12T07:57:17.360Z,27.7351,86.5554,10,4.5,mb
2015-05-12T07:48:51.490Z,27.7224,86.2576,10,4.9,mb
2015-05-12T07:47:46.350Z,27.5579,86.039,10,4.9,mb
2015-05-12T07:43:17.310Z,27.6521,86.2387,11.77,4.9,mb
2015-05-12T07:36:54.490Z,27.625,86.1617,15,6.3,mww
2015-05-12T07:34:22.630Z,27.7458,86.2449,10,5.4,mb
2015-05-12T07:33:09.760Z,27.7477,86.0099,10,4.1,mb
2015-05-12T07:23:32.670Z,27.5589,86.2566,10,5,mb
2015-05-12T07:22:15.290Z,27.5796,86.2338,10,4.8,mb
2015-05-12T07:20:47.170Z,27.3073,86.2369,10,4.9,mb
2015-05-12T07:17:20.640Z,27.7141,86.2177,13.01,5.5,mb
2015-05-12T07:05:19.730Z,27.8087,86.0655,15,7.3,mww
2015-05-11T14:52:40.550Z,27.7589,85.789,10,4.3,mb
2015-05-11T14:50:59.760Z,27.9326,85.9366,10,4.3,mb
2015-05-11T03:20:36.900Z,28.0071,85.827,10,4,mb
2015-05-10T09:38:32.750Z,27.4485,85.5858,10,4.3,mb
2015-05-10T00:49:52.770Z,27.7776,86.001,10,4,mb
2015-05-08T21:23:27.700Z,27.9634,85.0259,10,4,mb
2015-05-08T07:47:54.460Z,27.8668,85.9591,10,4.2,mb
2015-05-08T00:32:33.960Z,27.6418,85.979,11.56,4.9,mb
2015-05-05T11:15:40.410Z,27.6962,85.9535,10,4.1,mb
